AvgPulse,Ectopic-R,LnRMSSD,NN20,NN50,RMSSD,RMSSD_H,SDNN,SDSD,cadence,distance,fractional_cadence,heart_rate,pNN20,pNN50,timestamp,unknown_134,unknown_144,unknown_87,unknown_108,unknown_143
84,0,192.84005737304688,24,9,47.31374740600586,0.0,98.35913848876953,33.154109954833984,0,0.0,0.0,66,53.33333206176758,20.0,2025-11-17 15:21:34,100.0,66,0.0,1625.0,52.0
84,0,194.48690795898438,26,11,48.898075103759766,0.0,98.24851989746094,33.66447830200195,0,0.0,0.0,64,55.319149017333984,23.404254913330078,2025-11-17 15:21:35,100.0,64,0.0,1625.0,52.0
83,0,195.13209533691406,27,12,49.53314208984375,0.0,101.00330352783203,33.75104522705078,0,0.0,0.0,63,56.25,25.0,2025-11-17 15:21:36,100.0,63,0.0,1713.0,52.0
83,0,194.7633056640625,28,12,49.16913986206055,0.0,104.488037109375,33.42168045043945,0,0.0,0.0,62,57.14285659790039,24.489795684814453,2025-11-17 15:21:37,100.0,62,0.0,1713.0,52.0
82,0,194.80198669433594,29,13,49.207183837890625,0.0,105.801513671875,33.14963150024414,0,0.0,0.0,62,58.0,26.0,2025-11-17 15:21:38,100.0,62,0.0,1713.0,52.0
82,0,195.0689239501953,30,14,49.47059631347656,0.0,109.01013946533203,33.00265121459961,0,0.0,0.0,64,58.82352828979492,27.45098114013672,2025-11-17 15:21:39,100.0,64,0.0,1713.0,52.0
82,0,195.27511596679688,31,15,49.67502212524414,0.0,114.27178955078125,32.82625198364258,0,0.0,0.0,65,59.61538314819336,28.846153259277344,2025-11-17 15:21:40,100.0,65,0.0,1713.0,52.0
81,0,195.2246856689453,32,15,49.62493896484375,0.0,117.07524871826172,32.538536071777344,0,0.0,0.0,66,60.377357482910156,28.30188751220703,2025-11-17 15:21:41,100.0,66,0.0,1693.0,52.0
81,0,195.2246856689453,32,15,49.62493896484375,0.0,117.07524871826172,32.538536071777344,0,0.0,0.0,69,60.377357482910156,28.30188751220703,2025-11-17 15:21:42,100.0,69,0.0,1693.0,52.0
81,0,195.4724884033203,33,16,49.87150192260742,0.0,117.75579071044922,32.76528549194336,0,0.0,0.0,69,60.0,29.090909957885742,2025-11-17 15:21:43,100.0,69,0.0,1693.0,52.0
81,0,195.0204620361328,33,16,49.42266845703125,0.0,118.15532684326172,32.73359298706055,0,0.0,0.0,69,58.92856979370117,28.571428298950195,2025-11-17 15:21:44,100.0,69,0.0,1693.0,52.0
